rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes,expected_us_production
1,1600352,Gramercy Operation,LA,Active,Facility,Atalco Gramercy LLC,Alumina,472.0,1038400.0,2200,high,-90.659444,30.06,aluminum,exact_sic,Clear SIC codes for alumina and bauxite,significant
2,300257,Arkansas Operations Mill,AR,Active,Facility,Almatis Inc,Alumina,140.0,308000.0,2200,high,-92.535278,34.582778,aluminum,exact_sic,Clear SIC codes for alumina and bauxite,significant
3,3610222,Leetsdale PA,PA,Active,Facility,Almatis Inc,Alumina,98.0,215600.0,2200,high,-80.218611,40.565833,aluminum,exact_sic,Clear SIC codes for alumina and bauxite,significant
4,302023,"Huber Specialty Hydrates, LLC ",AR,Active,Facility,"Huber Specialty Hydrates, LLC ",Aluminum Ore-Bauxite,80.0,176000.0,2200,high,-92.535278,34.582778,aluminum,exact_sic,Clear SIC codes for alumina and bauxite,significant
5,301979,Section 27,AR,Active,Surface,SEMCOA,Aluminum Ore-Bauxite,27.0,59400.0,2200,high,-92.513611,34.535,aluminum,exact_sic,Clear SIC codes for alumina and bauxite,significant
6,4609571,"FX Minerals Processing, Inc.",WV,Active,Facility,"FX Minerals Processing, Inc.",Alumina,25.0,55000.0,2200,high,-80.619722,40.615,aluminum,exact_sic,Clear SIC codes for alumina and bauxite,significant
7,3100233,Hillsborough Mine ,NC,Active,Surface,Resco Products Inc,Alumina,18.0,39600.0,2200,high,-79.104722,36.070193,aluminum,exact_sic,Clear SIC codes for alumina and bauxite,significant
8,300261,"U.S. Vanadium - Benton, LLC",AR,Active,Surface,"US Vanadium - Benton, LLC",Aluminum Ore-Bauxite,5.0,11000.0,2200,high,-92.516389,34.583889,aluminum,exact_sic,Clear SIC codes for alumina and bauxite,significant
