rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes,expected_us_production
1,2401490,STILLWATER MINE,MT,Active,Underground,Stillwater Mining Company,Platinum Group Ore,1123.0,2246.0,2,medium,-109.872778,45.383889,palladium,pgm_group,"Platinum group metal, limited US production",limited
2,2401879,EAST BOULDER MINE,MT,Active,Underground,Stillwater Mining Company,Platinum Group Ore,446.0,892.0,2,medium,-110.085833,45.503611,palladium,pgm_group,"Platinum group metal, limited US production",limited
