rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes,expected_us_production
1,2400338,Continental Mine,MT,Active,Surface,"Montana Resources, LLC",Copper Ore NEC,388.0,1358000.0,3500,low,-112.5225,46.013056,manganese,controlled_keyword,"Mostly imported, limited US operations",minimal
2,700100,Wilmington Plant,DE,Active,Facility,Vibrantz Minerals LLC,Manganese Ore,64.0,224000.0,3500,low,-75.534167,39.711944,manganese,controlled_keyword,"Mostly imported, limited US operations",minimal
