rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes
1,2900802,Mosaic Potash Carlsbad Inc,NM,Active,Underground,Mosaic Potash Carlsbad Inc,Potash,467.0,2335000.0,5000,medium,-103.943056,32.415833,potash,controlled_keyword,Potash mining for fertilizer production
2,2900170,Intrepid Potash East,NM,Active,Underground,"Intrepid Potash-New Mexico, LLC",Potash,240.0,1200000.0,5000,medium,-103.791667,32.513056,potash,controlled_keyword,Potash mining for fertilizer production
3,2900175,Intrepid Potash West,NM,Active,Underground,"Intrepid Potash-New Mexico, LLC",Potash,211.0,1055000.0,5000,medium,-103.945278,32.492222,potash,controlled_keyword,Potash mining for fertilizer production
4,2902028,Intrepid Potash North,NM,Active,Facility,"Intrepid Potash-New Mexico, LLC",Potash,17.0,85000.0,5000,medium,-104.114167,32.490556,potash,controlled_keyword,Potash mining for fertilizer production
5,1400868,MICRO-LITE LLC,KS,Active,Facility,"Micro-Lite, LLC","Potash, Soda, Borate Mnls. NEC",9.0,45000.0,5000,medium,-95.696389,37.708056,potash,controlled_keyword,Potash mining for fertilizer production
